UUID	Hostname	Date	Critical Log
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	Oct 30 19:45:37 ubred sshd[924]: error: ioctl(TIOCSCTTY): Input/output error
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	Oct 30 19:45:37 ubred sshd[924]: error: /dev/pts/0: No such file or directory
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	Oct 30 19:45:37 ubred sshd[924]: error: open /dev/tty failed - could not set controlling tty: No such device or address
4450e93d-545a-4844-9e34-70acad05dcb2	ubred2	2025-11-10	-- No entries --
778a86f2-a80f-457a-9376-b31a2bfb4949	sys-monitor	2025-11-10	-- No entries --
17437b18-e881-4429-ac20-65a8ee6a09ed	mtg-webserver	2025-11-10	"Nov 06 13:49:50 mtg-webserver networkctl[72185]: Interface ""vethef8b962"" not found."
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	"Nov 06 13:49:59 file-server networkctl[56608]: Interface ""veth558d8e8"" not found."
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	"Nov 06 13:49:59 file-server networkctl[56614]: Interface ""vethfe31426"" not found."
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	Nov 10 17:49:22 file-server login[79282]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	Nov 10 17:49:22 file-server login[79282]: PAM adding faulty module: pam_lastlog.so
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	Nov 10 18:17:42 file-server login[79574]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	Nov 10 18:17:42 file-server login[79574]: PAM adding faulty module: pam_lastlog.so
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	Nov 10 18:27:08 file-server login[79742]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	Nov 10 18:27:08 file-server login[79742]: PAM adding faulty module: pam_lastlog.so
