UUID	Hostname	Date	Filesystem	Size	Used	Avail	Use%	Mounted on
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	30G	5.6G	23G	20%	/
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
4450e93d-545a-4844-9e34-70acad05dcb2	ubred2	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	30G	5.4G	23G	20%	/
4450e93d-545a-4844-9e34-70acad05dcb2	ubred2	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
778a86f2-a80f-457a-9376-b31a2bfb4949	sys-monitor	2025-11-10	/dev/mapper/sys--monitor--vg-root	29G	6.6G	21G	24%	/
778a86f2-a80f-457a-9376-b31a2bfb4949	sys-monitor	2025-11-10	/dev/sda1	943M	136M	743M	16%	/boot
17437b18-e881-4429-ac20-65a8ee6a09ed	mtg-webserver	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	30G	6.6G	22G	24%	/
17437b18-e881-4429-ac20-65a8ee6a09ed	mtg-webserver	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	160G	51G	102G	34%	/
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
b65a18ee-f312-475f-9046-59808f52bab4	db-svr02	2025-11-10	/dev/mapper/db--svr02--vg-root	29G	3.8G	24G	14%	/
b65a18ee-f312-475f-9046-59808f52bab4	db-svr02	2025-11-10	/dev/sda1	943M	136M	743M	16%	/boot
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	/dev/mapper/debRed--vg-root	29G	2.0G	26G	8%	/
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	/dev/sda1	943M	197M	681M	23%	/boot
345598a0-7aab-4b74-a4e0-2e9ba3ed69eb	cloudcity-01	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	30G	8.0G	20G	29%	/
345598a0-7aab-4b74-a4e0-2e9ba3ed69eb	cloudcity-01	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
008df209-cbb1-418c-bd4c-49d3eb4dd359	mandalore	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	61G	22G	37G	38%	/
008df209-cbb1-418c-bd4c-49d3eb4dd359	mandalore	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
072b0a23-f36d-4573-a383-bd60bad70786	db-svr01	2025-11-10	/dev/mapper/db--svr01--vg-root	29G	5.4G	22G	20%	/
072b0a23-f36d-4573-a383-bd60bad70786	db-svr01	2025-11-10	/dev/sda1	943M	136M	743M	16%	/boot
46b484fb-bca0-4377-a79d-fbe171124019	dev-svr02	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	30G	6.5G	22G	24%	/
46b484fb-bca0-4377-a79d-fbe171124019	dev-svr02	2025-11-10	/dev/sda2	2.0G	102M	1.7G	6%	/boot
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	/dev/mapper/ubuntu--vg-ubuntu--lv	61G	14G	44G	24%	/
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	/dev/sda2	2.0G	197M	1.6G	11%	/boot
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	/dev/mapper/fedora-root	15G	2.8G	13G	19%	/
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	/dev/sda2	2.0G	505M	1.5G	26%	/boot
df514d74-d3d4-45dc-956b-d44bfd49ab1f	dev-svr	2025-11-10	/dev/mapper/dev--svr--vg-root	29G	3.0G	25G	11%	/
df514d74-d3d4-45dc-956b-d44bfd49ab1f	dev-svr	2025-11-10	/dev/sda1	943M	136M	743M	16%	/boot
