UUID	Hostname	Date	Service
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
4450e93d-545a-4844-9e34-70acad05dcb2	ubred2	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
778a86f2-a80f-457a-9376-b31a2bfb4949	sys-monitor	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
17437b18-e881-4429-ac20-65a8ee6a09ed	mtg-webserver	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
b65a18ee-f312-475f-9046-59808f52bab4	db-svr02	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	UNIT            LOAD   ACTIVE SUB    DESCRIPTION
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	● apache2.service loaded failed failed The Apache HTTP Server
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	Legend: LOAD   → Reflects whether the unit definition was properly loaded.
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	ACTIVE → The high-level unit activation state, i.e. generalization of SUB.
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	SUB    → The low-level unit activation state, values depend on unit type.
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	1 loaded units listed.
345598a0-7aab-4b74-a4e0-2e9ba3ed69eb	cloudcity-01	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
008df209-cbb1-418c-bd4c-49d3eb4dd359	mandalore	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
072b0a23-f36d-4573-a383-bd60bad70786	db-svr01	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
46b484fb-bca0-4377-a79d-fbe171124019	dev-svr02	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
df514d74-d3d4-45dc-956b-d44bfd49ab1f	dev-svr	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
4997cc22-7241-4db8-8071-e36b88effa84	ubred	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
4450e93d-545a-4844-9e34-70acad05dcb2	ubred2	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
778a86f2-a80f-457a-9376-b31a2bfb4949	sys-monitor	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
17437b18-e881-4429-ac20-65a8ee6a09ed	mtg-webserver	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
0c50944d-f595-45c1-a769-6a33d8e35c0f	file-server	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
b65a18ee-f312-475f-9046-59808f52bab4	db-svr02	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	UNIT            LOAD   ACTIVE SUB    DESCRIPTION
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	● apache2.service loaded failed failed The Apache HTTP Server
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	Legend: LOAD   → Reflects whether the unit definition was properly loaded.
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	ACTIVE → The high-level unit activation state, i.e. generalization of SUB.
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	SUB    → The low-level unit activation state, values depend on unit type.
3e8eefeb-71f7-494e-af3b-d8ce2fe1b720	debRed	2025-11-10	1 loaded units listed.
345598a0-7aab-4b74-a4e0-2e9ba3ed69eb	cloudcity-01	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
008df209-cbb1-418c-bd4c-49d3eb4dd359	mandalore	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
072b0a23-f36d-4573-a383-bd60bad70786	db-svr01	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
46b484fb-bca0-4377-a79d-fbe171124019	dev-svr02	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
df514d74-d3d4-45dc-956b-d44bfd49ab1f	dev-svr	2025-11-10	UNIT LOAD ACTIVE SUB DESCRIPTION
